Sales Person,Country,Product,Date,Clean Amount,Boxes Shipped,Performance,Market,Look Up Test
Marney O'Breen,Australia,Manuka Honey Choco,4/5/2022,13076.00,236,High,Other,6040.7147
Kaine Padly,Canada,Manuka Honey Choco,1/18/2022,10213.00,135,High,Other,6030.543788
Jehu Rudeforth,UK,Baker's Choco Chips,5/16/2022,2485.00,97,High,Other,6016.396285
Kelci Walkden,Australia,White Choc,8/24/2022,8715.00,168,High,Other,6016.396285
Curtice Advani,India,85% Dark Bars,1/18/2022,273.00,402,Low,Other,6016.396285
Kaine Padly,USA,Eclairs,8/22/2022,7623.00,10,High,Other,6010.966499
Gunar Cockshoot,UK,99% Dark & Pure,3/7/2022,7.00,84,Low,Other,6010.966499
Beverie Moffet,UK,Choco Coated Almonds,3/4/2022,3010.00,69,High,Other,6010.966499
Dotty Strutley,Canada,Manuka Honey Choco,4/22/2022,11550.00,111,High,Other,6010.966499
Kaine Padly,Australia,Milk Bars,6/9/2022,4046.00,89,High,Other,6010.966499
Jan Morforth,Canada,Fruit & Nut Bars,7/25/2022,8904.00,199,High,Other,6010.966499
Jan Morforth,India,Smooth Sliky Salty,8/3/2022,11298.00,89,High,Other,6014.928125
Rafaelita Blaksland,Australia,Manuka Honey Choco,8/3/2022,4396.00,131,High,Other,6014.928125
Jehu Rudeforth,UK,Milk Bars,5/3/2022,12068.00,227,High,Other,6014.928125
Husein Augar,Canada,After Nines,1/19/2022,9772.00,301,High,Other,6018.198687
Roddy Speechley,USA,50% Dark Bites,2/11/2022,10458.00,316,High,Other,6018.198687
Van Tuxwell,India,Almond Choco,6/14/2022,6426.00,390,High,Other,6018.198687
Kelci Walkden,USA,50% Dark Bites,3/23/2022,6188.00,223,High,Other,6018.198687
Madelene Upcott,Canada,85% Dark Bars,2/17/2022,7504.00,101,High,Other,6018.198687
Dennison Crosswaite,Canada,Smooth Sliky Salty,3/17/2022,1750.00,479,High,Other,6018.198687
Mallorie Waber,Australia,Spicy Special Slims,6/29/2022,5439.00,287,High,Top Local,6018.198687
Ches Bonnell,Canada,Choco Coated Almonds,8/24/2022,15547.00,269,High,Other,6018.198687
Gigi Bohling,Canada,Spicy Special Slims,7/4/2022,11956.00,277,High,Other,6019.371154
Roddy Speechley,New Zealand,Almond Choco,3/28/2022,2723.00,67,High,Other,6019.371154
Curtice Advani,India,Smooth Sliky Salty,4/19/2022,19327.00,135,High,Other,6019.371154
Ches Bonnell,New Zealand,Mint Chip Choco,1/18/2022,9058.00,229,High,Other,6019.371154
Van Tuxwell,New Zealand,Fruit & Nut Bars,1/17/2022,2996.00,88,High,Other,6019.371154
Andria Kimpton,New Zealand,Mint Chip Choco,2/15/2022,8848.00,211,High,Other,6019.371154
Andria Kimpton,UK,Milk Bars,2/11/2022,14336.00,293,High,Other,6019.371154
Camilla Castle,USA,Manuka Honey Choco,3/21/2022,16401.00,179,High,Other,6019.371154
Gunar Cockshoot,New Zealand,Almond Choco,1/5/2022,5173.00,129,High,Other,6019.371154
Brien Boise,India,Raspberry Choco,5/30/2022,6328.00,164,High,Other,6019.371154
Jehu Rudeforth,USA,99% Dark & Pure,1/4/2022,2534.00,219,High,Other,6019.371154
Beverie Moffet,Australia,Fruit & Nut Bars,4/22/2022,1435.00,258,High,Other,6019.371154
Gigi Bohling,Canada,Milk Bars,2/10/2022,3052.00,116,High,Other,6019.371154
Dotty Strutley,India,Spicy Special Slims,8/12/2022,910.00,204,High,Other,6028.670081
Gunar Cockshoot,USA,Organic Choco Syrup,8/10/2022,2331.00,321,High,Other,6028.670081
Kelci Walkden,Australia,Raspberry Choco,6/7/2022,679.00,56,Medium,Other,6028.670081
Jehu Rudeforth,India,Baker's Choco Chips,6/6/2022,2086.00,74,High,Other,6028.670081
Karlen McCaffrey,New Zealand,Baker's Choco Chips,4/5/2022,5012.00,189,High,Other,6039.543394
Wilone O'Kielt,USA,50% Dark Bites,4/18/2022,4501.00,131,High,Other,6039.543394
Andria Kimpton,India,50% Dark Bites,1/31/2022,13482.00,15,High,Other,6039.543394
Madelene Upcott,USA,Baker's Choco Chips,8/22/2022,5621.00,140,High,Other,6039.543394
Jehu Rudeforth,Australia,99% Dark & Pure,2/25/2022,10486.00,198,High,Other,6039.543394
Jan Morforth,Australia,Mint Chip Choco,2/22/2022,17626.00,103,High,Other,6039.543394
Oby Sorrel,New Zealand,Milk Bars,1/12/2022,4494.00,187,High,Other,6030.487475
Brien Boise,UK,Almond Choco,5/25/2022,105.00,125,Low,Other,6006.823163
Kelci Walkden,India,Smooth Sliky Salty,2/1/2022,2464.00,8,High,Other,6006.823163
Rafaelita Blaksland,UK,Eclairs,4/27/2022,1379.00,70,High,Other,6006.823163
Gigi Bohling,USA,Smooth Sliky Salty,7/22/2022,2583.00,126,High,Other,6006.823163
Curtice Advani,New Zealand,Mint Chip Choco,1/26/2022,3220.00,265,High,Other,6006.823163
Curtice Advani,USA,Mint Chip Choco,8/24/2022,4802.00,296,High,Other,6006.823163
Madelene Upcott,New Zealand,Fruit & Nut Bars,1/18/2022,5677.00,21,High,Other,6006.823163
Karlen McCaffrey,India,85% Dark Bars,3/30/2022,945.00,83,High,Other,6006.823163
Ches Bonnell,Australia,Caramel Stuffed Bars,1/17/2022,8757.00,162,High,Other,6006.823163
Kelci Walkden,USA,Fruit & Nut Bars,2/17/2022,4816.00,145,High,Other,6006.823163
Kelci Walkden,Canada,Peanut Butter Cubes,4/8/2022,7532.00,44,High,Other,6001.19908
Gigi Bohling,Canada,Drinking Coco,7/6/2022,3549.00,82,High,Other,6001.19908
Husein Augar,India,Fruit & Nut Bars,4/4/2022,4340.00,226,High,Other,6001.19908
Jan Morforth,New Zealand,Organic Choco Syrup,3/2/2022,1799.00,207,High,Other,6001.19908
Gigi Bohling,New Zealand,Raspberry Choco,8/9/2022,1127.00,176,High,Other,6001.19908
Dennison Crosswaite,Australia,Milk Bars,6/9/2022,10038.00,286,High,Other,6001.19908
Ches Bonnell,UK,Caramel Stuffed Bars,6/2/2022,2926.00,300,High,Other,6001.19908
Van Tuxwell,USA,Fruit & Nut Bars,7/5/2022,6279.00,235,High,Other,5992.926947
Andria Kimpton,Canada,Eclairs,8/11/2022,308.00,125,Low,Other,5992.926947
Madelene Upcott,India,Choco Coated Almonds,2/11/2022,3500.00,145,High,Other,5992.926947
Kelci Walkden,New Zealand,Spicy Special Slims,8/11/2022,658.00,65,Medium,Other,5992.926947
Roddy Speechley,Australia,Drinking Coco,5/12/2022,12565.00,102,High,Other,5992.926947
Wilone O'Kielt,USA,Milk Bars,7/15/2022,5012.00,93,High,Other,5992.926947
Andria Kimpton,India,Organic Choco Syrup,1/18/2022,3955.00,134,High,Other,5979.43193
Madelene Upcott,UK,Fruit & Nut Bars,1/5/2022,8512.00,189,High,Other,5979.43193
Curtice Advani,Australia,50% Dark Bites,6/29/2022,504.00,232,Medium,Other,5979.43193
Brien Boise,Canada,Raspberry Choco,6/14/2022,2800.00,45,High,Other,5979.43193
Gunar Cockshoot,India,Mint Chip Choco,8/8/2022,4256.00,67,High,Other,5990.698251
Dennison Crosswaite,India,Mint Chip Choco,3/23/2022,13573.00,138,High,Other,5990.698251
Barr Faughny,India,Caramel Stuffed Bars,1/4/2022,6566.00,99,High,Other,5990.698251
Brien Boise,India,Milk Bars,2/22/2022,13503.00,251,High,Other,5990.698251
Beverie Moffet,UK,Spicy Special Slims,2/17/2022,8680.00,252,High,Other,5990.698251
Barr Faughny,USA,Almond Choco,2/3/2022,385.00,78,Low,Other,5990.698251
Van Tuxwell,Canada,Raspberry Choco,3/17/2022,1267.00,130,High,Other,5990.698251
Wilone O'Kielt,Australia,Baker's Choco Chips,1/25/2022,2961.00,154,High,Other,5990.698251
Brien Boise,Australia,Milk Bars,7/27/2022,1981.00,52,High,Other,5990.698251
Husein Augar,Australia,Fruit & Nut Bars,1/28/2022,7959.00,53,High,Other,5996.945052
Madelene Upcott,Australia,Organic Choco Syrup,7/5/2022,10794.00,50,High,Other,6005.242459
Van Tuxwell,India,White Choc,3/15/2022,1897.00,44,High,Other,6001.197412
Gunar Cockshoot,Canada,After Nines,8/4/2022,2744.00,200,High,Other,5991.253838
Jan Morforth,USA,Fruit & Nut Bars,6/27/2022,4382.00,361,High,Other,5991.253838
Jan Morforth,Canada,After Nines,7/13/2022,4515.00,172,High,Other,5991.253838
Barr Faughny,New Zealand,Manuka Honey Choco,2/24/2022,5474.00,239,High,Other,5991.253838
Karlen McCaffrey,New Zealand,85% Dark Bars,6/28/2022,6069.00,55,High,Other,5991.253838
Oby Sorrel,Australia,85% Dark Bars,6/30/2022,6944.00,27,High,Other,5991.253838
Curtice Advani,Canada,Choco Coated Almonds,8/18/2022,5859.00,7,High,Other,5991.253838
Kaine Padly,India,70% Dark Bites,1/24/2022,12173.00,301,High,Other,5989.273077
Beverie Moffet,USA,White Choc,3/11/2022,5292.00,134,High,Other,5989.273077
Ches Bonnell,New Zealand,After Nines,6/23/2022,5705.00,350,High,Other,5989.273077
Husein Augar,India,Spicy Special Slims,8/22/2022,2492.00,33,High,Other,5989.273077
Gunar Cockshoot,Canada,50% Dark Bites,1/4/2022,3024.00,23,High,Other,5989.273077
Curtice Advani,India,Milk Bars,4/5/2022,3437.00,201,High,Other,5989.273077
Beverie Moffet,India,Milk Bars,4/15/2022,1869.00,323,High,Other,5989.273077
Husein Augar,Australia,White Choc,5/11/2022,3171.00,220,High,Other,5989.273077
Andria Kimpton,Canada,Manuka Honey Choco,7/21/2022,4858.00,488,High,Other,5989.273077
Jan Morforth,New Zealand,Orange Choco,2/11/2022,1225.00,84,High,Other,5995.144479
Andria Kimpton,Canada,Smooth Sliky Salty,7/8/2022,1155.00,79,High,Other,5995.144479
Gunar Cockshoot,UK,Raspberry Choco,8/11/2022,6811.00,344,High,Other,5995.144479
Husein Augar,New Zealand,After Nines,8/4/2022,6433.00,7,High,Other,5995.144479
Andria Kimpton,New Zealand,Orange Choco,6/14/2022,8169.00,88,High,Other,5995.144479
Dennison Crosswaite,UK,Baker's Choco Chips,1/17/2022,2275.00,275,High,Other,5995.144479
Jehu Rudeforth,Canada,Orange Choco,6/23/2022,3857.00,512,High,Other,5995.144479
Jehu Rudeforth,UK,Smooth Sliky Salty,8/24/2022,1463.00,113,High,Other,5995.144479
Andria Kimpton,UK,Caramel Stuffed Bars,6/7/2022,7924.00,275,High,Other,5995.144479
Jan Morforth,UK,White Choc,6/22/2022,8799.00,47,High,Other,5995.144479
Dotty Strutley,USA,Fruit & Nut Bars,7/13/2022,2898.00,276,High,Other,5995.144479
Kelci Walkden,UK,Choco Coated Almonds,5/24/2022,9506.00,212,High,Other,5995.144479
Gunar Cockshoot,New Zealand,After Nines,8/9/2022,7175.00,145,High,Other,5995.144479
Kaine Padly,Canada,85% Dark Bars,4/6/2022,1729.00,31,High,Other,5995.144479
Jan Morforth,New Zealand,Manuka Honey Choco,7/28/2022,1589.00,271,High,Other,5995.144479
Gunar Cockshoot,New Zealand,Raspberry Choco,8/24/2022,630.00,52,Medium,Other,5995.144479
Van Tuxwell,Australia,99% Dark & Pure,1/17/2022,112.00,128,Low,Other,5995.144479
Curtice Advani,USA,Drinking Coco,2/7/2022,5187.00,142,High,Other,5995.144479
Brien Boise,Australia,Spicy Special Slims,5/9/2022,6223.00,256,High,Other,6007.426618
Mallorie Waber,New Zealand,85% Dark Bars,6/6/2022,7714.00,106,High,Other,6007.426618
Wilone O'Kielt,USA,Choco Coated Almonds,6/6/2022,9457.00,6,High,Other,6006.975628
Beverie Moffet,New Zealand,Organic Choco Syrup,5/24/2022,6678.00,226,High,Other,6006.975628
Gunar Cockshoot,UK,50% Dark Bites,1/13/2022,2107.00,121,High,Other,6006.975628
Marney O'Breen,USA,Raspberry Choco,5/23/2022,6069.00,151,High,Other,6006.975628
Jehu Rudeforth,UK,White Choc,6/29/2022,1862.00,284,High,Other,6006.975628
Jehu Rudeforth,New Zealand,85% Dark Bars,3/11/2022,6972.00,89,High,Other,6006.975628
Dotty Strutley,USA,85% Dark Bars,4/25/2022,10220.00,508,High,Other,6006.975628
Rafaelita Blaksland,Australia,Smooth Sliky Salty,5/30/2022,3969.00,243,High,Other,6006.975628
Curtice Advani,India,Manuka Honey Choco,5/23/2022,1547.00,170,High,Other,6006.975628
Mallorie Waber,USA,Peanut Butter Cubes,5/23/2022,1162.00,18,High,Other,6011.248113
Van Tuxwell,Canada,Peanut Butter Cubes,6/24/2022,6342.00,282,High,Other,6011.248113
Kelci Walkden,New Zealand,Smooth Sliky Salty,3/11/2022,10633.00,277,High,Other,6011.248113
Rafaelita Blaksland,USA,Smooth Sliky Salty,7/27/2022,15057.00,212,High,Other,6011.248113
Rafaelita Blaksland,USA,White Choc,8/16/2022,4704.00,126,High,Other,6011.248113
Roddy Speechley,Canada,Smooth Sliky Salty,3/7/2022,9338.00,11,High,Other,6011.248113
Curtice Advani,New Zealand,After Nines,4/5/2022,7959.00,30,High,Other,6011.248113
Camilla Castle,India,85% Dark Bars,5/4/2022,9023.00,51,High,Other,6011.248113
Ches Bonnell,USA,Choco Coated Almonds,1/4/2022,14525.00,92,High,Other,6011.248113
Marney O'Breen,Australia,Baker's Choco Chips,1/13/2022,5810.00,101,High,Other,6011.248113
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,7/11/2022,6426.00,98,High,Other,6011.248113
Kaine Padly,Australia,Mint Chip Choco,5/17/2022,4403.00,159,High,Other,6011.670903
Camilla Castle,New Zealand,Peanut Butter Cubes,7/21/2022,1582.00,62,High,Other,6011.670903
Curtice Advani,Canada,Organic Choco Syrup,2/22/2022,791.00,22,Medium,Other,6015.057579
Jan Morforth,India,99% Dark & Pure,5/23/2022,9100.00,187,High,Other,6015.057579
Rafaelita Blaksland,Canada,Drinking Coco,7/12/2022,9884.00,200,High,Other,6015.057579
Jan Morforth,UK,Orange Choco,6/15/2022,3780.00,201,High,Other,6015.057579
Barr Faughny,New Zealand,50% Dark Bites,6/23/2022,4557.00,308,High,Other,6015.057579
Curtice Advani,Australia,Eclairs,3/25/2022,5796.00,55,High,Other,6015.057579
Jan Morforth,India,Caramel Stuffed Bars,7/4/2022,84.00,153,Low,Other,6015.057579
Andria Kimpton,UK,White Choc,5/12/2022,9037.00,101,High,Other,6015.519726
Camilla Castle,New Zealand,Raspberry Choco,4/4/2022,4746.00,137,High,Other,6015.519726
Madelene Upcott,Australia,Orange Choco,4/15/2022,6713.00,398,High,Other,6015.519726
Roddy Speechley,Canada,Eclairs,3/8/2022,6237.00,88,High,Other,6015.519726
Karlen McCaffrey,India,White Choc,1/17/2022,7483.00,232,High,Other,6014.045137
Wilone O'Kielt,India,Mint Chip Choco,8/22/2022,1309.00,51,High,Other,6014.045137
Andria Kimpton,UK,99% Dark & Pure,7/25/2022,1155.00,66,High,Other,6014.045137
Marney O'Breen,UK,50% Dark Bites,6/14/2022,2989.00,124,High,Other,6014.045137
Ches Bonnell,India,Choco Coated Almonds,4/5/2022,9625.00,78,High,Other,6014.045137
Madelene Upcott,UK,Raspberry Choco,8/26/2022,7357.00,341,High,Other,6014.045137
Wilone O'Kielt,Australia,50% Dark Bites,8/3/2022,10031.00,114,High,Other,6014.045137
Gigi Bohling,Canada,White Choc,7/11/2022,6587.00,4,High,Other,6014.045137
Wilone O'Kielt,New Zealand,Eclairs,3/11/2022,3311.00,22,High,Other,6005.53464
Brien Boise,UK,Peanut Butter Cubes,1/10/2022,15330.00,30,High,Other,6005.53464
Roddy Speechley,UK,Baker's Choco Chips,4/4/2022,14028.00,351,High,Other,6005.53464
Karlen McCaffrey,Australia,50% Dark Bites,1/17/2022,6678.00,708,High,Other,6005.53464
Marney O'Breen,New Zealand,Organic Choco Syrup,7/8/2022,8624.00,50,High,Other,6005.53464
Jan Morforth,UK,Organic Choco Syrup,4/12/2022,1197.00,356,High,Other,6004.1069
Rafaelita Blaksland,Canada,Fruit & Nut Bars,8/24/2022,483.00,185,Low,Other,6004.1069
Ches Bonnell,UK,Choco Coated Almonds,6/7/2022,1687.00,236,High,Other,6004.1069
Gunar Cockshoot,Canada,Almond Choco,7/28/2022,1309.00,30,High,Other,6004.1069
Husein Augar,USA,99% Dark & Pure,2/21/2022,9534.00,111,High,Other,6004.1069
Dennison Crosswaite,Canada,Mint Chip Choco,4/8/2022,1694.00,289,High,Other,6004.1069
Brien Boise,UK,Manuka Honey Choco,6/28/2022,70.00,103,Low,Other,6004.1069
Van Tuxwell,UK,Baker's Choco Chips,3/24/2022,2443.00,20,High,Other,6004.1069
Barr Faughny,Australia,Caramel Stuffed Bars,7/29/2022,2933.00,55,High,Other,6004.1069
Dennison Crosswaite,USA,Eclairs,5/25/2022,2044.00,90,High,Other,6004.1069
Gigi Bohling,Australia,Raspberry Choco,3/30/2022,6524.00,303,High,Other,6010.64117
Dennison Crosswaite,USA,Organic Choco Syrup,7/18/2022,12656.00,126,High,Other,6010.64117
Beverie Moffet,Canada,Orange Choco,5/10/2022,8722.00,109,High,Other,6009.546588
Mallorie Waber,Australia,Choco Coated Almonds,3/18/2022,15750.00,92,High,Top Local,6009.546588
Ches Bonnell,India,Caramel Stuffed Bars,6/15/2022,6839.00,56,High,Other,6009.546588
Van Tuxwell,Canada,50% Dark Bites,5/12/2022,13685.00,58,High,Other,5988.733654
Kelci Walkden,New Zealand,Baker's Choco Chips,6/23/2022,2912.00,110,High,Other,5988.733654
Beverie Moffet,India,Spicy Special Slims,4/21/2022,3339.00,171,High,Other,5988.733654
Gigi Bohling,Australia,Almond Choco,8/17/2022,910.00,117,High,Other,5988.733654
Rafaelita Blaksland,New Zealand,Eclairs,2/7/2022,19481.00,51,High,Other,5988.733654
Kelci Walkden,Canada,Smooth Sliky Salty,3/17/2022,8099.00,118,High,Other,5999.608887
Jan Morforth,India,Baker's Choco Chips,8/1/2022,13727.00,79,High,Other,5999.608887
Jehu Rudeforth,Australia,Milk Bars,3/18/2022,8659.00,29,High,Other,5999.608887
Gigi Bohling,Canada,Fruit & Nut Bars,6/14/2022,5782.00,103,High,Other,5999.608887
Beverie Moffet,UK,Eclairs,4/22/2022,8463.00,155,High,Other,5993.902039
Marney O'Breen,New Zealand,Eclairs,1/18/2022,4914.00,31,High,Other,5993.902039
Husein Augar,Australia,99% Dark & Pure,8/26/2022,3087.00,128,High,Other,5993.902039
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,6/10/2022,9205.00,419,High,Other,5993.902039
Curtice Advani,Canada,70% Dark Bites,1/31/2022,2303.00,7,High,Other,6000.153441
Kelci Walkden,New Zealand,Manuka Honey Choco,4/8/2022,1358.00,106,High,Other,6000.153441
Dotty Strutley,Australia,Baker's Choco Chips,6/7/2022,3605.00,68,High,Other,6000.153441
Barr Faughny,Australia,85% Dark Bars,2/10/2022,8498.00,44,High,Other,6000.153441
Beverie Moffet,Australia,50% Dark Bites,5/16/2022,700.00,457,Medium,Other,6005.315409
Gunar Cockshoot,India,Baker's Choco Chips,3/18/2022,2191.00,524,High,Other,5999.931641
Van Tuxwell,Australia,50% Dark Bites,7/13/2022,644.00,137,Medium,Other,6011.403355
Oby Sorrel,USA,Manuka Honey Choco,7/25/2022,4340.00,86,High,Other,6011.403355
Van Tuxwell,Canada,Choco Coated Almonds,8/19/2022,2282.00,296,High,Other,6023.046312
Karlen McCaffrey,Canada,70% Dark Bites,6/24/2022,7714.00,597,High,Other,6023.046312
Kelci Walkden,Canada,Fruit & Nut Bars,6/20/2022,826.00,149,High,Other,6023.046312
Camilla Castle,India,99% Dark & Pure,8/2/2022,203.00,207,Low,Other,6023.046312
Madelene Upcott,New Zealand,70% Dark Bites,2/22/2022,13356.00,93,High,Other,6023.046312
Mallorie Waber,New Zealand,Orange Choco,2/1/2022,6510.00,23,High,Other,6023.046312
Jan Morforth,Canada,70% Dark Bites,2/14/2022,5894.00,305,High,Other,6023.046312
Kelci Walkden,Australia,Milk Bars,2/24/2022,7910.00,125,High,Other,6023.046312
Dennison Crosswaite,India,Orange Choco,3/18/2022,784.00,129,Medium,Other,6023.046312
Husein Augar,UK,Eclairs,8/30/2022,1750.00,252,High,Other,6018.944239
Gigi Bohling,USA,Peanut Butter Cubes,5/9/2022,280.00,75,Low,Other,6018.944239
Wilone O'Kielt,USA,Smooth Sliky Salty,1/18/2022,504.00,87,Medium,Other,6018.944239
Curtice Advani,India,White Choc,7/4/2022,7154.00,342,High,Other,6018.944239
Oby Sorrel,New Zealand,Spicy Special Slims,6/3/2022,1617.00,13,High,Other,6018.944239
Beverie Moffet,New Zealand,Peanut Butter Cubes,2/23/2022,10822.00,30,High,Other,6018.944239
Dotty Strutley,New Zealand,99% Dark & Pure,5/9/2022,10724.00,203,High,Other,6018.944239
Kelci Walkden,India,70% Dark Bites,6/6/2022,3640.00,106,High,Other,6018.944239
Kelci Walkden,India,Drinking Coco,7/4/2022,7532.00,234,High,Other,6018.944239
Brien Boise,New Zealand,Drinking Coco,6/6/2022,1582.00,100,High,Other,6018.944239
Dotty Strutley,Australia,Almond Choco,5/13/2022,1456.00,91,High,Other,6018.944239
Wilone O'Kielt,New Zealand,Organic Choco Syrup,1/31/2022,2016.00,277,High,Other,6018.944239
Ches Bonnell,New Zealand,Caramel Stuffed Bars,6/30/2022,7588.00,42,High,Other,6028.885294
Barr Faughny,Canada,Manuka Honey Choco,8/25/2022,3402.00,249,High,Other,6028.885294
Gigi Bohling,New Zealand,Smooth Sliky Salty,1/10/2022,700.00,97,Medium,Other,6028.885294
Brien Boise,USA,Manuka Honey Choco,8/22/2022,1904.00,8,High,Other,6028.885294
Roddy Speechley,New Zealand,85% Dark Bars,4/14/2022,4844.00,275,High,Other,6028.885294
Oby Sorrel,UK,Smooth Sliky Salty,5/31/2022,9625.00,313,High,Other,6028.885294
Oby Sorrel,UK,Raspberry Choco,4/8/2022,4599.00,323,High,Other,6028.885294
Roddy Speechley,USA,Drinking Coco,2/21/2022,3003.00,155,High,Other,6028.885294
Andria Kimpton,Australia,Manuka Honey Choco,3/30/2022,9744.00,377,High,Other,6028.885294
Mallorie Waber,India,Raspberry Choco,3/2/2022,1400.00,2,High,Other,6028.885294
Jehu Rudeforth,USA,Orange Choco,7/28/2022,364.00,170,Low,Other,6020.77369
Kaine Padly,New Zealand,70% Dark Bites,3/24/2022,7231.00,38,High,Other,6020.77369
Curtice Advani,Australia,After Nines,8/11/2022,63.00,105,Low,Other,6020.77369
Husein Augar,UK,Almond Choco,5/17/2022,8309.00,166,High,Other,6020.77369
Kaine Padly,Canada,Choco Coated Almonds,5/18/2022,3164.00,164,High,Other,6033.810394
Roddy Speechley,UK,Peanut Butter Cubes,8/17/2022,5691.00,171,High,Other,6033.810394
Ches Bonnell,New Zealand,Eclairs,4/4/2022,490.00,49,Low,Other,6033.810394
Brien Boise,India,85% Dark Bars,8/9/2022,18032.00,205,High,Other,6033.810394
Brien Boise,New Zealand,Organic Choco Syrup,1/17/2022,637.00,313,Medium,Other,6033.810394
Andria Kimpton,Canada,White Choc,2/14/2022,4067.00,29,High,Other,6033.810394
Gigi Bohling,New Zealand,Orange Choco,5/16/2022,8204.00,307,High,Other,6033.810394
Ches Bonnell,Canada,Smooth Sliky Salty,3/16/2022,9870.00,121,High,Other,6033.810394
Husein Augar,Canada,70% Dark Bites,1/31/2022,5131.00,285,High,Other,6033.810394
Barr Faughny,Canada,Organic Choco Syrup,3/10/2022,1141.00,205,High,Other,6033.810394
Oby Sorrel,UK,Organic Choco Syrup,6/30/2022,7980.00,157,High,Other,6033.810394
Van Tuxwell,New Zealand,Eclairs,3/1/2022,5229.00,182,High,Other,6033.810394
Mallorie Waber,UK,Drinking Coco,5/27/2022,3423.00,100,High,Other,6033.810394
Oby Sorrel,UK,Milk Bars,7/11/2022,6468.00,223,High,Other,6033.810394
Karlen McCaffrey,New Zealand,Mint Chip Choco,3/2/2022,4326.00,61,High,Other,6033.810394
Jehu Rudeforth,USA,Raspberry Choco,3/4/2022,7154.00,133,High,Other,6033.810394
Kelci Walkden,UK,85% Dark Bars,6/23/2022,3997.00,228,High,Other,6033.810394
Kelci Walkden,USA,Almond Choco,1/27/2022,5180.00,233,High,Other,6033.810394
Marney O'Breen,Canada,Orange Choco,1/14/2022,2723.00,425,High,Other,6033.810394
Dennison Crosswaite,India,Fruit & Nut Bars,7/29/2022,952.00,24,High,Other,6033.810394
Brien Boise,Canada,Smooth Sliky Salty,5/13/2022,5691.00,495,High,Other,6033.810394
Barr Faughny,Canada,Baker's Choco Chips,2/3/2022,10969.00,170,High,Other,6033.810394
Brien Boise,India,Smooth Sliky Salty,5/27/2022,5964.00,26,High,Other,6033.810394
Jan Morforth,Australia,Drinking Coco,2/18/2022,2821.00,24,High,Other,6033.810394
Brien Boise,India,Spicy Special Slims,1/28/2022,1302.00,33,High,Other,6033.810394
Van Tuxwell,UK,Eclairs,6/29/2022,5474.00,109,High,Other,6040.856031
Wilone O'Kielt,India,Caramel Stuffed Bars,1/13/2022,4179.00,276,High,Other,6040.856031
Jehu Rudeforth,UK,After Nines,6/27/2022,1946.00,164,High,Other,6040.856031
Barr Faughny,Canada,White Choc,3/29/2022,4291.00,1,High,Other,6040.856031
Gunar Cockshoot,India,Organic Choco Syrup,6/3/2022,7196.00,160,High,Other,6040.856031
Mallorie Waber,Canada,Smooth Sliky Salty,3/21/2022,1939.00,98,High,Other,6040.856031
Mallorie Waber,India,Eclairs,4/12/2022,10437.00,46,High,Other,6040.856031
Rafaelita Blaksland,Australia,Raspberry Choco,1/19/2022,6916.00,259,High,Other,6040.856031
Karlen McCaffrey,UK,50% Dark Bites,4/6/2022,3647.00,310,High,Other,6040.856031
Kaine Padly,Australia,50% Dark Bites,8/2/2022,8995.00,78,High,Other,6038.932637
Gigi Bohling,Australia,Eclairs,4/12/2022,7252.00,136,High,Other,6038.932637
Oby Sorrel,India,Drinking Coco,7/21/2022,16380.00,130,High,Other,6032.421476
Van Tuxwell,New Zealand,Baker's Choco Chips,3/22/2022,9660.00,24,High,Other,6029.729249
Husein Augar,India,Peanut Butter Cubes,5/9/2022,4522.00,5,High,Other,6029.729249
Andria Kimpton,Australia,Baker's Choco Chips,8/9/2022,329.00,109,Low,Other,6029.729249
Madelene Upcott,Canada,Choco Coated Almonds,7/20/2022,3458.00,294,High,Other,6029.729249
Brien Boise,India,70% Dark Bites,4/14/2022,4641.00,413,High,Other,6042.341482
Jehu Rudeforth,Canada,White Choc,1/25/2022,4627.00,136,High,Other,6042.341482
Andria Kimpton,Australia,Almond Choco,4/25/2022,3192.00,175,High,Other,6042.341482
Dotty Strutley,Canada,After Nines,1/17/2022,252.00,237,Low,Other,6042.341482
Karlen McCaffrey,USA,Eclairs,8/15/2022,868.00,125,High,Other,6048.66153
Karlen McCaffrey,Canada,Fruit & Nut Bars,6/2/2022,210.00,16,Low,Other,6048.66153
Gunar Cockshoot,USA,85% Dark Bars,6/30/2022,7007.00,135,High,Other,6048.66153
Dotty Strutley,New Zealand,Raspberry Choco,2/10/2022,5845.00,91,High,Other,6048.66153
Marney O'Breen,Canada,Caramel Stuffed Bars,2/23/2022,1372.00,614,High,Other,6048.66153
Dennison Crosswaite,India,Organic Choco Syrup,1/27/2022,8428.00,216,High,Other,6048.66153
Camilla Castle,UK,Mint Chip Choco,5/26/2022,4977.00,317,High,Other,6048.66153
Brien Boise,USA,70% Dark Bites,4/14/2022,1694.00,21,High,Other,6048.66153
Madelene Upcott,Australia,99% Dark & Pure,8/1/2022,4326.00,154,High,Other,6048.66153
Mallorie Waber,Australia,Eclairs,8/22/2022,9527.00,222,High,Top Local,6048.66153
Marney O'Breen,India,99% Dark & Pure,7/22/2022,10766.00,157,High,Other,6052.489667
Husein Augar,USA,Fruit & Nut Bars,4/28/2022,1288.00,27,High,Other,6044.751336
